FIPS,GEO,County,Date,Cases,Tests,Population,pop_2018,Region,herc_region,newCases,newTests,posFraction,newCases.per1000,newTests.per1000,dailyPos,dailyTests,dailyFractionPos,Cases.per1000,Tests.per1000
55078,County,Menominee,2020-03-16,0,NA,4556,4382,Northeastern,Fox Valley Area,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55079,County,Milwaukee,2020-03-16,13,NA,945726,944479,Southeastern,Southeast,NA,NA,NA,NA,NA,6,NA,NA,0.00634433229074806,NA
55081,County,Monroe,2020-03-16,0,NA,46253,45998,Western,Western,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55083,County,Oconto,2020-03-16,0,NA,37930,37962,Northeastern,Northeast,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55085,County,Oneida,2020-03-16,0,NA,35595,35913,Northern,North Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55087,County,Outagamie,2020-03-16,1,NA,187885,183800,Northeastern,Fox Valley Area,NA,NA,NA,NA,NA,1,NA,NA,0.00532240466242648,NA
55089,County,Ozaukee,2020-03-16,0,NA,89221,88360,Southeastern,Southeast,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55091,County,Pepin,2020-03-16,0,NA,7287,7349,Western,Northwest,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55093,County,Pierce,2020-03-16,1,NA,42754,41635,Western,Northwest,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55095,County,Polk,2020-03-16,0,NA,43783,43900,Western,Northwest,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55097,County,Portage,2020-03-16,0,NA,70772,70719,Northern,North Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55099,County,Price,2020-03-16,0,NA,13351,13808,Northern,North Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55101,County,Racine,2020-03-16,1,NA,196311,195230,Southeastern,Southeast,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55103,County,Richland,2020-03-16,0,NA,17252,17712,Southern,South Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55105,County,Rock,2020-03-16,0,NA,163354,160265,Southern,South Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55107,County,Rusk,2020-03-16,0,NA,14178,14534,Western,Northwest,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55111,County,Sauk,2020-03-16,0,NA,64442,62686,Southern,South Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55113,County,Sawyer,2020-03-16,0,NA,16558,16569,Northern,Northwest,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55115,County,Shawano,2020-03-16,0,NA,40899,41260,Northeastern,Fox Valley Area,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55117,County,Sheboygan,2020-03-16,3,NA,115340,114515,Northeastern,Southeast,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55109,County,St. Croix,2020-03-16,0,NA,90687,88169,Western,Northwest,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55119,County,Taylor,2020-03-16,0,NA,20343,20580,Northern,North Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55121,County,Trempealeau,2020-03-16,0,NA,29649,29332,Western,Western,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55123,County,Vernon,2020-03-16,0,NA,30822,30287,Southern,Western,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55125,County,Vilas,2020-03-16,0,NA,22195,21656,Northern,North Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55127,County,Walworth,2020-03-16,0,NA,103868,102615,Southeastern,Southeast,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55129,County,Washburn,2020-03-16,0,NA,15720,15853,Western,Northwest,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55131,County,Washington,2020-03-16,0,NA,136034,134486,Southeastern,Southeast,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55133,County,Waukesha,2020-03-16,3,NA,404198,398642,Southeastern,Southeast,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55135,County,Waupaca,2020-03-16,0,NA,50990,51731,Northeastern,Fox Valley Area,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55137,County,Waushara,2020-03-16,0,NA,24443,24298,Northeastern,Fox Valley Area,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55139,County,Winnebago,2020-03-16,3,NA,171907,169344,Northeastern,Fox Valley Area,NA,NA,NA,NA,NA,2,NA,NA,0.0116341975603088,NA
55141,County,Wood,2020-03-16,1,NA,72999,74026,Northern,North Central,NA,NA,NA,NA,NA,1,NA,NA,0.0136988177920245,NA
55001,County,Adams,2020-03-17,0,NA,20220,20495,Southern,South Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55003,County,Ashland,2020-03-17,0,NA,15562,15863,Northern,Northwest,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55005,County,Barron,2020-03-17,0,NA,45244,45880,Western,Northwest,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55007,County,Bayfield,2020-03-17,0,NA,15036,15204,Northern,Northwest,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55009,County,Brown,2020-03-17,0,NA,264542,260329,Northeastern,Northeast,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55011,County,Buffalo,2020-03-17,0,NA,13031,13509,Western,Western,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55013,County,Burnett,2020-03-17,0,NA,15414,15447,Western,Northwest,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55015,County,Calumet,2020-03-17,0,NA,50089,51476,Northeastern,Fox Valley Area,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55017,County,Chippewa,2020-03-17,0,NA,64658,64220,Western,Northwest,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55019,County,Clark,2020-03-17,0,NA,34774,34741,Western,North Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55021,County,Columbia,2020-03-17,0,NA,57532,57128,Southern,South Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55023,County,Crawford,2020-03-17,0,NA,16131,16555,Southern,Western,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55025,County,Dane,2020-03-17,19,NA,546695,528496,Southern,South Central,NA,NA,NA,NA,NA,9,NA,NA,0.0164625613916352,NA
55027,County,Dodge,2020-03-17,0,NA,87839,89205,Southern,South Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55029,County,Door,2020-03-17,0,NA,27668,28051,Northeastern,Northeast,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55031,County,Douglas,2020-03-17,0,NA,43150,43874,Western,Northwest,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55033,County,Dunn,2020-03-17,0,NA,45368,44777,Western,Northwest,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55035,County,Eau Claire,2020-03-17,0,NA,104646,102893,Western,Northwest,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55037,County,Florence,2020-03-17,0,NA,4295,4421,Northern,Northeast,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55039,County,Fond du Lac,2020-03-17,11,NA,103403,103373,Northeastern,Southeast,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55041,County,Forest,2020-03-17,0,NA,9004,9182,Northern,North Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55043,County,Grant,2020-03-17,0,NA,51439,52374,Southern,South Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55045,County,Green,2020-03-17,0,NA,36960,36864,Southern,South Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55047,County,Green Lake,2020-03-17,0,NA,18913,19088,Northeastern,Fox Valley Area,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55049,County,Iowa,2020-03-17,0,NA,23678,23799,Southern,South Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55051,County,Iron,2020-03-17,0,NA,5687,5844,Northern,North Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55053,County,Jackson,2020-03-17,0,NA,20643,20664,Western,Western,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55055,County,Jefferson,2020-03-17,0,NA,84769,84675,Southern,South Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55057,County,Juneau,2020-03-17,0,NA,26687,26908,Southern,South Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55059,County,Kenosha,2020-03-17,4,NA,169561,168231,Southeastern,Southeast,NA,NA,NA,NA,NA,4,NA,NA,0.0235903303236004,NA
55061,County,Kewaunee,2020-03-17,0,NA,20434,20644,Northeastern,Northeast,NA,NA,NA,NA,NA,0,NA,NA,0,NA
